Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2025-07-07,2025,Tata Steel Limited,TATASTEEL.NS,NSE,163.0,163.35,157.51,159.84,96963632
2025-07-14,2025,Tata Steel Limited,TATASTEEL.NS,NSE,159.84,162.75,157.0,162.37,100198891
2025-07-21,2025,Tata Steel Limited,TATASTEEL.NS,NSE,162.5,165.6,161.05,161.43,84536337
2025-07-28,2025,Tata Steel Limited,TATASTEEL.NS,NSE,161.23,162.79,152.51,153.01,100783578
2025-08-04,2025,Tata Steel Limited,TATASTEEL.NS,NSE,153.5,160.14,153.5,157.95,93055317
2025-08-11,2025,Tata Steel Limited,TATASTEEL.NS,NSE,157.95,162.4,154.83,155.3,99717856
2025-08-18,2025,Tata Steel Limited,TATASTEEL.NS,NSE,158.0,162.76,156.0,158.55,144113556
2025-08-25,2025,Tata Steel Limited,TATASTEEL.NS,NSE,159.2,160.33,153.05,154.48,75239376
2025-09-01,2025,Tata Steel Limited,TATASTEEL.NS,NSE,154.48,169.3,153.7,167.68,157467761
2025-09-08,2025,Tata Steel Limited,TATASTEEL.NS,NSE,170.0,172.5,167.99,169.78,89508095
2025-09-15,2025,Tata Steel Limited,TATASTEEL.NS,NSE,169.77,172.9,168.63,171.48,100441994
2025-09-22,2025,Tata Steel Limited,TATASTEEL.NS,NSE,170.8,174.44,167.2,167.4,102857362
2025-09-29,2025,Tata Steel Limited,TATASTEEL.NS,NSE,167.6,174.74,166.13,173.21,114101419
